Date,iShares MSCI EM UCITS ETF (Acc)
1987-11,10000
1987-12,10000
1988-01,11098.971623672229
1988-02,11458.078260741482
1988-03,12516.013264159124
1988-04,13104.68707370345
1988-05,13629.409115407418
1988-06,14615.065326480277
1988-07,14960.199007348987
1988-08,14884.686827999374
1988-09,15732.85556465471
1988-10,15243.185807731596
1988-11,14575.404197176309
1988-12,14976.956005162907
1989-01,15372.683842127899
1989-02,16752.373960910503
1989-03,18542.593902945217
1989-04,22182.00938697567
1989-05,23443.9114070667
1989-06,20967.718698463985
1989-07,21369.852503241185
1989-08,22201.458921267436
1989-09,25380.274348717645
1989-10,24763.646707163683
1989-11,23268.117142789073
1989-12,25031.084718466424
1990-01,25094.02212583748
1990-02,25729.792837753368
1990-03,22635.041867693857
1990-04,23954.37458603269
1990-05,25495.753880003682
1990-06,26551.700380195518
1990-07,28017.095432268463
1990-08,23363.280874772157
1990-09,20410.420935307495
1990-10,19441.508434609834
1990-11,18059.69626317848
1990-12,19042.87067716193
1991-01,20630.774948089987
1991-02,23286.038871706296
1991-03,26383.89434320569
1991-04,28079.128096086984
1991-05,30683.208535535094
1991-06,30686.170900167785
1991-07,32314.54405722669
1991-08,32264.635964082692
1991-09,30166.983135357837
1991-10,31352.02206838495
1991-11,29726.259677043618
1991-12,32011.759918104723
1992-01,35964.50554047926
1992-02,38386.271267295066
1992-03,40740.22342531219
1992-04,40086.25234966367
1992-05,39172.99488051678
1992-06,34271.3611586212
1992-07,32990.84318054638
1992-08,30654.46490996959
1992-09,31465.77186060151
1992-10,34522.996737519235
1992-11,36383.25470468196
1992-12,37423.07836242439
1993-01,38332.846673506516
1993-02,39941.00414823966
1993-03,41458.98224376578
1993-04,40963.13292283652
1993-05,42202.118258340415
1993-06,44715.290578161446
1993-07,47836.263935154886
1993-08,52264.68461577085
1993-09,52014.51130282269
1993-10,57338.99801229474
1993-11,61475.88056546685
1993-12,71596.63725499013
1994-01,73877.00069961365
1994-02,72272.56533335024
1994-03,64362.84281556726
1994-04,63248.65576320843
1994-05,63997.93313183508
1994-06,61213.72770895073
1994-07,63006.81974716529
1994-08,70898.70246515397
1994-09,70925.4192711237
1994-10,68304.37472114213
1994-11,65705.55878587023
1994-12,61654.34720182439
1995-01,53959.547804040376
1995-02,51992.057158825075
1995-03,50281.4817417532
1995-04,51524.483510425714
1995-05,55096.255838232384
1995-06,54789.905010331306
1995-07,55360.593349008705
1995-08,55684.94817504863
1995-09,56123.33259696236
1995-10,53126.85296560543
1995-11,52284.21784011032
1995-12,55460.03183510513
1996-01,60115.10803370955
1996-02,59490.22967683452
1996-03,59906.406571681386
1996-04,62823.842035422545
1996-05,63292.58204622816
1996-06,63184.41011903157
1996-07,57962.21588525803
1996-08,58898.23875101848
1996-09,59914.543269665795
1996-10,58489.05165814808
1996-11,58697.03961278826
1996-12,60258.72673281834
1997-01,66110.69230362574
1997-02,71935.67026550382
1997-03,70848.35200426713
1997-04,71349.01261607527
1997-05,73155.63298140299
1997-06,77925.61830228884
1997-07,81277.70628452246
1997-08,72946.2914611618
1997-09,72990.36791484273
1997-10,59895.162309315856
1997-11,56513.09407390206
1997-12,59427.98513695566
1998-01,56017.82551327762
1998-02,61720.01888650921
1998-03,64626.50855220986
1998-04,63479.91736652125
1998-05,53936.7128283326
1998-06,48621.48011052011
1998-07,50274.472019278095
1998-08,35584.844526841596
1998-09,36071.40342055807
1998-10,38391.526561448554
1998-11,42782.0117833495
1998-12,41886.601998076796
1999-01,42551.177592803164
1999-02,44385.922694651395
1999-03,51519.62989350663
1999-04,58678.12331316452
1999-05,59114.6388392204
1999-06,66630.58324472955
1999-07,62592.06577095319
1999-08,63874.984945660246
1999-09,61171.37951976051
1999-10,63731.75542509597
1999-11,71885.20820498248
1999-12,81428.15041899188
2000-01,84034.62566685161
2000-02,85806.78357427723
2000-03,87665.8625695318
2000-04,83430.51766579776
2000-05,78094.59796969197
2000-06,78693.33352443577
2000-07,77162.14630453337
2000-08,80464.10480686504
2000-09,74607.61854613415
2000-10,72048.14973153679
2000-11,63716.37299461636
2000-12,60890.14855682374
2001-01,69355.04403671487
2001-02,64225.11344676826
2001-03,60635.29445474122
2001-04,63306.86395352708
2001-05,67044.61143528121
2001-06,65658.34075763512
2001-07,59567.458661064484
2001-08,56375.53602659742
2001-09,47782.19911589966
2001-10,51239.847727348606
2001-11,57497.58475619726
2001-12,62651.41711198711
2002-01,66085.08323677408
2002-02,67052.15045205259
2002-03,70480.55024451061
2002-04,68690.9265005111
2002-05,64856.96105017359
2002-06,56445.210959906464
2002-07,53167.23999052567
2002-08,53703.989048497606
2002-09,47770.555165180514
2002-10,50842.48539136032
2002-11,53989.65266672618
2002-12,49400.48837585804
2003-01,47681.877104410814
2003-02,46534.09716414399
2003-03,44738.704558537385
2003-04,47683.92324538698
2003-05,48111.93218363007
2003-06,52604.7225759831
2003-07,56429.679270194254
2003-08,62363.5080817324
2003-09,58902.56565249685
2003-10,64071.182491677246
2003-11,62837.30536532001
2003-12,63989.7006091301
2004-01,67568.9541176922
2004-02,70482.23458120214
2004-03,72510.25926296887
2004-04,68114.89544752437
2004-05,65389.14062609277
2004-06,65910.3997958777
2004-07,65358.910687275835
2004-08,67680.21876086592
2004-09,69859.85693952508
2004-10,69680.8883494358
2004-11,72929.20574430015
2004-12,74599.69872930074
2005-01,78188.93564392593
2005-02,83618.57149387685
2005-03,79862.51770785106
2005-04,77763.93948551462
2005-05,84577.00537563884
2005-06,89213.21433322456
2005-07,95504.47779430136
2005-08,95520.36318403448
2005-09,105765.7632038644
2005-10,98995.87962664146
2005-11,109491.03698204747
2005-12,115685.35324296779
2006-01,125251.4552829546
2006-02,127673.33929268179
2006-03,126361.52018042035
2006-04,130684.38677570882
2006-05,113989.81486893806
2006-06,115117.86260881953
2006-07,116299.43263515316
2006-08,118523.36649785787
2006-09,121305.07876946575
2006-10,126694.64918676885
2006-11,130913.56518030592
2006-12,137112.86803728584
2007-01,137970.54959430266
2007-02,134482.1747581096
2007-03,138725.36590299444
2007-04,142240.2119541404
2007-05,150851.302328969
2007-06,157355.7069460145
2007-07,163273.71279773596
2007-08,159856.1542330616
2007-09,171564.9134356656
2007-10,187147.7458059203
2007-11,170162.58808069135
2007-12,171212.08710204583
2008-01,148368.3149884176
2008-02,156230.5499791942
2008-03,141917.3664484813
2008-04,156122.13562240347
2008-05,159368.64540571877
2008-06,141137.5814675958
2008-07,137236.50285003116
2008-08,133808.71324335164
2008-09,113720.73741589586
2008-10,92609.26458931241
2008-11,85832.44607997486
2008-12,84623.91944234949
2009-01,85984.12974761029
2009-02,82238.94866538577
2009-03,89362.82187591435
2009-04,104493.12177687715
2009-05,115246.92027035548
2009-06,113410.4417127912
2009-07,126191.53272386956
2009-08,124573.87486971164
2009-09,132439.90207142016
2009-10,131189.28491832648
2009-11,134780.41820337105
2009-12,146100.6788959839
2010-01,142301.072233251
2010-02,146978.54910686216
2010-03,159906.62744319983
2010-04,163849.5630297987
2010-05,161729.40246513113
2010-06,161016.19065219167
2010-07,164373.09137038005
2010-08,165636.57771148093
2010-09,170986.17780310518
2010-10,173286.22065987793
2010-11,179842.95270166037
2010-12,187421.3062103577
2011-01,177948.44898845098
2011-02,174478.7953420198
2011-03,179887.56856359963
2011-04,177327.96700106905
2011-05,178424.85439232487
2011-06,174901.41577385642
2011-07,176575.6804126658
2011-08,158719.28134919325
2011-09,145092.2123029605
2011-10,158458.4772375806
2011-11,154309.0049520484
2011-12,158084.99799806558
2012-01,172856.30592479705
2012-02,179576.92095926727
2012-03,174706.46398181087
2012-04,174496.42281472997
2012-05,165128.19828123663
2012-06,169005.6850162944
2012-07,176693.9576804224
2012-08,171588.3967051407
2012-09,177460.97977301473
2012-10,175520.7105552089
2012-11,177831.52431428057
2012-12,183580.4642961484
2013-01,181222.09581718963
2013-02,184683.1436395556
2013-03,186108.03757302518
2013-04,183724.33025255767
2013-05,179978.5367337382
2013-06,167625.500987032
2013-07,166953.07797662006
2013-08,164622.40100543827
2013-09,171849.1044330961
2013-10,178400.9647910595
2013-11,176166.97860167423
2013-12,171341.6044907011
2014-01,163488.44536778593
2014-02,165281.58133326564
2014-03,170676.3249022403
2014-04,170519.23046482314
2014-05,179636.60823522665
2014-06,183774.77343381627
2014-07,191361.22623437957
2014-08,198556.46051562318
2014-09,192691.40095415208
2014-10,195875.39610657503
2014-11,194422.51038884273
2014-12,190751.71710646764
2015-01,206073.81529016793
2015-02,213677.19245229033
2015-03,220068.2526625017
2015-04,227378.59928985624
2015-05,223158.73425889027
2015-06,213241.76044618944
2015-07,202579.1681875752
2015-08,180220.57257252172
2015-09,175023.45041377895
2015-10,190660.09619883195
2015-11,190793.67093220737
2015-12,181339.63088090866
2016-01,169045.84152039274
2016-02,169258.57382910312
2016-03,183304.4394687892
2016-04,184018.77751743657
2016-05,181118.7787005866
2016-06,189391.57452553045
2016-07,198805.8784046113
2016-08,203435.01328566842
2016-09,205545.3163559026
2016-10,210069.86752461945
2016-11,206242.17451565867
2016-12,208653.79402052384
2017-01,215672.00396054846
2017-02,225572.6678588244
2017-03,229255.653824424
2017-04,229163.92442797398
2017-05,229832.51891043797
2017-06,228379.77018442564
2017-07,235637.34176279925
2017-08,238948.84885646688
2017-09,238400.2279984526
2017-10,250299.08709371038
2017-11,246311.30985000572
2017-12,252179.06798717973
2018-01,263001.45036399533
2018-02,255861.89359649687
2018-03,248950.6491101704
2018-04,252824.56435099232
2018-05,251811.6308600114
2018-06,242328.42775191396
2018-07,246181.59526966108
2018-08,241308.32830819266
2018-09,241627.1189530538
2018-10,225598.5603522105
2018-11,234029.90049835475
2018-12,226124.42740156085
2019-01,245093.2427437227
2019-02,247179.36673856233
2019-03,253281.24019078593
2019-04,259015.09489593687
2019-05,241707.32529518986
2019-06,251781.12871540125
2019-07,253984.87807869658
2019-08,244154.2753927978
2019-09,252218.99058476312
2019-10,256597.76775484497
2019-11,260236.65321328375
2019-12,273507.0783682201
2020-01,265021.4703669648
2020-02,252736.74485040226
2020-03,214245.09605936793
2020-04,235594.33392736613
2020-05,231874.5987500015
2020-06,247625.7643752919
2020-07,255127.1779997616
2020-08,258781.73975575704
2020-09,259699.40963275338
2020-10,265277.6471579672
2020-11,282966.5704788437
2020-12,296653.0952356827
2021-01,309183.0935092224
2021-02,311904.07600351557
2021-03,317601.24960832234
2021-04,315884.60918055923
2021-05,320082.7375205619
2021-06,329250.12699751084
2021-07,307054.7147861567
2021-08,316660.63590704097
2021-09,310839.1065672851
2021-10,312124.60780764965
2021-11,306815.0333468836
2021-12,313695.76411835285
2022-01,312424.4949944242
2022-02,301912.8722733343
2022-03,297759.3409179298
2022-04,296165.7332238263