Date,iShares MSCI Europe Mid Cap UCITS ETF EUR (Acc)
1994-04,10000
1994-05,10000
1994-06,9689.471129787804
1994-07,9809.193606106312
1994-08,10046.418898226353
1994-09,9567.03003428766
1994-10,9618.995355740451
1994-11,9370.15792288274
1994-12,9651.447532015452
1995-01,9371.604069667355
1995-02,9379.389316435352
1995-03,9219.658670279267
1995-04,9356.818385576062
1995-05,9695.065142145675
1995-06,9730.974159143028
1995-07,10068.377181754335
1995-08,9952.916686246212
1995-09,10311.919010115982
1995-10,9977.256461722605
1995-11,9841.063107435599
1995-12,10289.630957368734
1996-01,10543.864054652417
1996-02,11037.08674316068
1996-03,11198.31095640783
1996-04,11500.574085924201
1996-05,11907.892560533217
1996-06,11934.31045060833
1996-07,11596.235426274865
1996-08,11737.874405489829
1996-09,11868.079284788948
1996-10,12142.913771450332
1996-11,12359.992180874755
1996-12,13032.379781795456
1997-01,13379.90326883596
1997-02,14103.339522086884
1997-03,14473.76510722146
1997-04,14221.663786999416
1997-05,14819.717624332106
1997-06,15552.40347585435
1997-07,16119.613548414482
1997-08,16229.555979842682
1997-09,16929.449919298077
1997-10,16269.650829695704
1997-11,15892.014939972096
1997-12,16577.847423626197
1998-01,17518.687598212935
1998-02,18833.432343579625
1998-03,20663.074070726332
1998-04,21258.471297260112
1998-05,21668.152831460146
1998-06,21253.056719529897
1998-07,21752.934072792043
1998-08,19024.14015121292
1998-09,17173.307565428815
1998-10,17713.36310719146
1998-11,18863.598850772843
1998-12,19373.65787459626
1999-01,20119.199210618008
1999-02,20197.628394149822
1999-03,20616.810780940523
1999-04,21436.06375154723
1999-05,21299.222291378006
1999-06,21802.774721728296
1999-07,21671.530163652376
1999-08,22109.985701264734
1999-09,21700.287136248608
1999-10,21944.010161545397
1999-11,23538.194519236862
1999-12,26203.593475609796
2000-01,25524.781655990984
2000-02,28355.277546252062
2000-03,28236.35509789956
2000-04,27534.709302417832
2000-05,26470.028921558245
2000-06,26634.319994775607
2000-07,27485.11361102856
2000-08,28473.757393153304
2000-09,27540.896635018526
2000-10,27483.52163157528
2000-11,25510.36579804137
2000-12,25579.978832684104
2001-01,25931.26660552597
2001-02,24839.532183985917
2001-03,23524.338271229895
2001-04,24623.30357111888
2001-05,25154.078699351343
2001-06,24110.82310674807
2001-07,23304.941364729257
2001-08,22108.53255930236
2001-09,18984.755337176994
2001-10,20172.303574127982
2001-11,21569.617300526916
2001-12,22090.10535473026
2002-01,22021.555838168548
2002-02,21982.823908229147
2002-03,23182.822663578412
2002-04,22618.363290486774
2002-05,22047.160659780417
2002-06,20036.510645331855
2002-07,18274.300838752002
2002-08,18137.89979143588
2002-09,16020.51583424183
2002-10,17119.19084810301
2002-11,17901.930813385898
2002-12,16208.668520005302
2003-01,14947.748256219329
2003-02,14296.419485420392
2003-03,14021.330167746806
2003-04,15659.346832172308
2003-05,15925.500693655731
2003-06,16625.837681657966
2003-07,17385.655204412553
2003-08,18181.86320725618
2003-09,17391.005588006905
2003-10,18887.750195008495
2003-11,19014.819094344264
2003-12,19175.07166611434
2004-01,20267.912282497517
2004-02,20964.02733712645
2004-03,20748.32260939436
2004-04,21004.646674330786
2004-05,21049.322070754784
2004-06,21603.762098554456
2004-07,21077.007656992333
2004-08,20971.62441570896
2004-09,21277.51256601121
2004-10,21545.634040582572
2004-11,22438.132615220442
2004-12,22950.836749613376
2005-01,23828.540357855793
2005-02,24574.043511551143
2005-03,24390.44699561608
2005-04,23715.410265507973
2005-05,25244.72519692324
2005-06,26156.912606882895
2005-07,27111.875628907117
2005-08,27480.195015175497
2005-09,28401.53138711261
2005-10,27353.512808854222
2005-11,28909.212746391328
2005-12,30114.023197071227
2006-01,31745.156276715552
2006-02,32774.202590157714
2006-03,33620.362111514216
2006-04,34093.484378037836
2006-05,32225.275855169137
2006-06,32669.102727937916
2006-07,32956.07283635875
2006-08,34157.25209864567
2006-09,35320.524011898284
2006-10,36940.70266053593
2006-11,37281.66410435979
2006-12,39062.8167969329
2007-01,39967.40275699867
2007-02,39299.09294378396
2007-03,40789.802749223505
2007-04,42100.73066835247
2007-05,43577.91867385526
2007-06,42692.578200353644
2007-07,41294.12850889783
2007-08,40333.877713194146
2007-09,39744.73198887337
2007-10,40970.91993809011
2007-11,37314.59503504857
2007-12,36412.46158079365
2008-01,32578.82968226015
2008-02,32746.709836191
2008-03,31780.116218625062
2008-04,33437.26991709562
2008-05,34096.913989816065
2008-06,30211.902951366435
2008-07,28725.236799515744
2008-08,30006.050455280016
2008-09,25464.982577404255
2008-10,21054.78410912329
2008-11,19872.955993567113
2008-12,18956.66042053526
2009-01,18965.91475902783
2009-02,17463.900155317515
2009-03,17633.258162396833
2009-04,20821.586392120236
2009-05,21928.464943248553
2009-06,21323.512612637944
2009-07,23484.592714100323
2009-08,24905.241661700646
2009-09,25739.57953804146
2009-10,24804.23832736232
2009-11,25134.40796999453
2009-12,26646.92234776046
2010-01,26375.50931172381
2010-02,26479.7241989572
2010-03,28758.31249026758
2010-04,28872.59015413759
2010-05,27274.229189640675
2010-06,27267.038889325122
2010-07,28787.377080354872
2010-08,28204.279905973115
2010-09,29705.43441930014
2010-10,30394.850452440773
2010-11,30271.337156088044
2010-12,32181.919502398487
2011-01,32426.485108453933
2011-02,33210.893368642624
2011-03,32439.021912693817
2011-04,33265.35545668856
2011-05,33390.38093054109
2011-06,32230.98882211979
2011-07,31220.955887687316
2011-08,27915.98190798793
2011-09,25963.589765953155
2011-10,27818.44773135417
2011-11,27484.86424568685
2011-12,27906.52091455055
2012-01,29137.233238593355
2012-02,30616.983723253266
2012-03,31049.669918866377
2012-04,30620.766883659566
2012-05,28452.353965605296
2012-06,29926.23454130025
2012-07,30979.501015127
2012-08,31518.801298063838
2012-09,31934.50450808588
2012-10,32141.84175142229
2012-11,33154.62598729591
2012-12,33651.02350037044
2013-01,34337.503275325296
2013-02,35022.017571269214
2013-03,35886.90411083273
2013-04,36572.48492768611
2013-05,37140.70796752483
2013-06,35468.24821131601
2013-07,38101.31635018496
2013-08,37885.19155431969
2013-09,39636.03743630832
2013-10,40827.429503070496
2013-11,41221.5877796864
2013-12,41928.003539680736
2014-01,41875.82805409029
2014-02,44315.50338104048
2014-03,43808.58637114905
2014-04,44283.628455914564
2014-05,45463.814184109106
2014-06,44939.1359283205
2014-07,43796.54086839754
2014-08,44454.56674223483
2014-09,44064.2938221207
2014-10,43625.05522568379
2014-11,45278.165147701344
2014-12,45610.589183395794
2015-01,49209.77246047082
2015-02,52765.54260235086
2015-03,53621.092802994805
2015-04,53938.36909303638
2015-05,55327.601865987905
2015-06,52931.73648996097
2015-07,55475.814068455744
2015-08,51230.22047630004
2015-09,49282.501455874924
2015-10,53425.225185341405
2015-11,55075.40033400915
2015-12,52678.116286852375
2016-01,48713.950370951876
2016-02,48381.04110489249
2016-03,50013.72447818541
2016-04,50863.68093387874
2016-05,51722.90675241672
2016-06,48367.780819853855
2016-07,51199.356324718654
2016-08,51382.279464814776
2016-09,51892.79094110126
2016-10,50402.44231039449
2016-11,50942.22501045235
2016-12,53406.498504394534
2017-01,54170.50017941428
2017-02,55626.59729735099
2017-03,57145.7277982041
2017-04,58748.38970571755
2017-05,59806.20539614232
2017-06,58105.8048829018
2017-07,58804.227331080474
2017-08,58659.486040762975
2017-09,60590.84083072978
2017-10,62124.40522406792
2017-11,60859.60364715024
2017-12,61320.02562035578
2018-01,62213.364376449696
2018-02,60427.10380501543
2018-03,59070.15773578853
2018-04,61582.47089221183
2018-05,62751.17791610625
2018-06,62106.92524045408
2018-07,63484.288713112364
2018-08,63390.236991809754
2018-09,63251.412345543984
2018-10,58442.71985361203
2018-11,56605.58465120039
2018-12,53276.96612742023
2019-01,57454.73762599222
2019-02,59719.76282871299
2019-03,60475.32243861542
2019-04,63202.99439995171
2019-05,59823.88665539852
2019-06,62533.52088552225
2019-07,62706.91575929972
2019-08,61983.13964658195
2019-09,64423.594628762985
2019-10,65577.79469662224
2019-11,68294.11180775636
2019-12,69594.42079843202
2020-01,69168.97486553139
2020-02,63683.52232383705
2020-03,52200.339067325025
2020-04,57295.66405621954
2020-05,59700.22179366916
2020-06,61270.43814277243
2020-07,61181.61596641676
2020-08,64594.52970588702
2020-09,64087.25626547658
2020-10,61456.00661736858
2020-11,70044.10822076566
2020-12,72586.63627871641
2021-01,72708.79083907526
2021-02,74045.72514547619
2021-03,78212.75363913862
2021-04,80092.47597007481
2021-05,82380.67506487455
2021-06,83301.62107851736
2021-07,85809.35319546085
2021-08,87157.46606588022
2021-09,83771.73478261051
2021-10,86189.60072616905
2021-11,84164.56967204096
2021-12,89172.40926107438
2022-01,83347.8392949086
2022-02,80396.34324539357
2022-03,80510.18359521721
2022-04,79223.04171311042