Date,iShares Edge MSCI World Quality Factor UCITS ETF (Acc)
1998-10,10000
1998-11,10000
1998-12,10506.488586740677
1999-01,11108.320202013872
1999-02,11046.09871643856
1999-03,11710.268806317417
1999-04,12240.05772296734
1999-05,11852.386863933985
1999-06,12616.866422646019
1999-07,11965.36641961952
1999-08,12131.831434075619
1999-09,11796.735924576624
1999-10,12682.502343382113
1999-11,13464.36163660813
1999-12,14625.49122168635
2000-01,13815.986993112088
2000-02,13693.7534586898
2000-03,15021.549662282605
2000-04,15173.082601144622
2000-05,14689.799487237058
2000-06,14908.456085032842
2000-07,15260.137287242542
2000-08,15988.125821983662
2000-09,15749.520053775117
2000-10,16496.557613199064
2000-11,15414.70314333011
2000-12,14872.475089426605
2001-01,14812.338851465656
2001-02,13636.272395222499
2001-03,13331.76506315895
2001-04,14266.591504753527
2001-05,14709.921913760385
2001-06,14330.57739568843
2001-07,14022.731717808008
2001-08,12738.019196050933
2001-09,11935.39242831918
2001-10,12271.356408966067
2001-11,13238.821778715188
2001-12,13594.828569749037
2002-01,13693.791136486125
2002-02,13687.843379796263
2002-03,13970.996718925544
2002-04,12894.789678714524
2002-05,12248.689979495546
2002-06,11042.523272919074
2002-07,10316.978990508029
2002-08,10307.925305483486
2002-09,9209.544952667999
2002-10,10074.356937510736
2002-11,10471.58961705807
2002-12,9449.157932623893
2003-01,8816.27463080376
2003-02,8635.80718515002
2003-03,8565.457413918724
2003-04,9141.001517518655
2003-05,9032.882560387923
2003-06,9388.275828084263
2003-07,9583.312609773482
2003-08,10103.863289587163
2003-09,9431.218001809742
2003-10,9992.352665361772
2003-11,9801.46122121106
2003-12,9827.26956683076
2004-01,10104.324474884084
2004-02,10253.556164805366
2004-03,10282.145621809323
2004-04,10433.501391291511
2004-05,10305.14112034454
2004-06,10521.715474373732
2004-07,10378.068336883332
2004-08,10408.390888604146
2004-09,10377.769897538214
2004-10,10214.824907615925
2004-11,10252.848196166418
2004-12,10445.122562948798
2005-01,10691.120192552895
2005-02,10922.098249244938
2005-03,10968.259108626024
2005-04,10697.183462005376
2005-05,11495.940383121657
2005-06,11875.621015638453
2005-07,12259.429363878515
2005-08,12081.433026117878
2005-09,12426.982336060832
2005-10,12226.471031468865
2005-11,12902.240606423595
2005-12,12967.829095117579
2006-01,13049.001067465453
2006-02,13370.146419120501
2006-03,13401.964105044859
2006-04,13350.48960732342
2006-05,12595.55040763101
2006-06,12779.577180553222
2006-07,12731.57510759565
2006-08,12998.681688062228
2006-09,13349.39743247213
2006-10,13884.048810968223
2006-11,13701.232866247188
2006-12,13991.511109217223
2007-01,14349.122492189967
2007-02,13963.172117883534
2007-03,14107.838416510547
2007-04,14521.370966037306
2007-05,15121.442385053242
2007-06,15033.443957757601
2007-07,14529.231751053561
2007-08,14644.332372405479
2007-09,15060.924147243471
2007-10,15347.987901633254
2007-11,14516.990739407935
2007-12,14393.10752257066
2008-01,13086.686770544602
2008-02,12766.380877839145
2008-03,12082.872192718307
2008-04,12877.649776500475
2008-05,13149.858381835222
2008-06,12114.213883652783
2008-07,11880.448492021262
2008-08,12484.856562139916
2008-09,11522.212442593584
2008-10,10552.226603433719
2008-11,10084.937885948942
2008-12,9479.069928641398
2009-01,9474.385917208372
2009-02,8679.934428720691
2009-03,8898.88038853915
2009-04,9786.604389130602
2009-05,10056.056028485924
2009-06,10088.416845771746
2009-07,10850.905373052761
2009-08,11033.7526523301
2009-09,11156.383283734789
2009-10,11028.01961180458
2009-11,11361.48499067516
2009-12,12081.365608704662
2010-01,11946.539018401574
2010-02,12467.394588160012
2010-03,13254.17342045003
2010-04,13404.666578917067
2010-05,13126.682536942544
2010-06,12870.099551894977
2010-07,13040.80849566806
2010-08,13013.553292001949
2010-09,13250.2663209689
2010-10,13603.647432871152
2010-11,14238.35576426937
2010-12,14715.076477364179
2011-01,14589.667802810129
2011-02,14897.395165552995
2011-03,14547.757171554313
2011-04,14620.77848350603
2011-05,14870.48199460074
2011-06,14618.581132780675
2011-07,14646.06623672875
2011-08,13686.896906185282
2011-09,13399.412457499355
2011-10,14237.860886639353
2011-11,14609.207560427336
2011-12,15141.435293598248
2012-01,15563.860056656196
2012-02,16057.911593745264
2012-03,16288.50641154778
2012-04,16449.968385823096
2012-05,16050.20382166321
2012-06,16551.171251459476
2012-07,17296.834871914394
2012-08,17213.073733072935
2012-09,17183.541013078855
2012-10,16954.012858385824
2012-11,17193.46471982764
2012-12,17090.597092859385
2013-01,17460.499925672877
2013-02,18051.066592031148
2013-03,18970.383676225454
2013-04,19082.205432145445
2013-05,19218.480586038582
2013-06,18530.538346218043
2013-07,19202.574986280615
2013-08,18882.503525686614
2013-09,19413.953562394043
2013-10,19953.390776892513
2013-11,20440.3049698446
2013-12,20632.343113382736
2014-01,20035.397639559855
2014-02,20707.89924011198
2014-03,20834.74962619325
2014-04,21136.449589995216
2014-05,21836.718537639303
2014-06,22033.689753492257
2014-07,22256.414668872694
2014-08,23309.43464782647
2014-09,23752.692622863487
2014-10,24347.004335725593
2014-11,24741.9979854712
2014-12,25064.252221374903
2015-01,26716.579729290755
2015-02,28256.32763225644
2015-03,29074.47001827589
2015-04,28548.137845766792
2015-05,29353.981831222056
2015-06,28096.35570336993
2015-07,29343.917504214078
2015-08,26818.270396942436
2015-09,26286.61791090129
2015-10,28973.959074154165
2015-11,30099.554238001925
2015-12,28744.7968823763
2016-01,27231.88091246421
2016-02,27343.20653468503
2016-03,27887.411153587902
2016-04,27970.740341087083
2016-05,28820.32779939487
2016-06,28834.66682185094
2016-07,29729.857462943794
2016-08,29565.12212427402
2016-09,29558.500874703277
2016-10,29236.45268245869
2016-11,30500.860249157406
2016-12,31266.346925711598
2017-01,31095.76308457503
2017-02,32716.871382470967
2017-03,32878.58877632244
2017-04,32686.35059768669
2017-05,32715.482762634103
2017-06,32078.979581988013
2017-07,31704.533215880085
2017-08,31553.26222358186
2017-09,32298.291208318722
2017-10,33524.019695440686
2017-11,33899.08685313413
2017-12,33944.792911097706
2018-01,34020.906673621415
2018-02,33495.82011110231
2018-03,32844.646959494305
2018-04,33712.355145115405
2018-05,35398.837130442815
2018-06,35302.261799576896
2018-07,36248.935802778135
2018-08,37121.1054313905
2018-09,37528.712636847835
2018-10,35708.881009804485
2018-11,35780.1556428139
2018-12,33071.225887852284
2019-01,35390.520875411756
2019-02,37227.91549172083
2019-03,38630.45221042493
2019-04,39933.654527261824
2019-05,37863.48234340676
2019-06,39607.39345063554
2019-07,40609.38343988258
2019-08,40159.98766288514
2019-09,41442.00714711243
2019-10,41605.228911127015
2019-11,43663.1783592755
2019-12,44135.418980538496
2020-01,44665.93172636376
2020-02,41195.70462406757
2020-03,36702.86012955141
2020-04,40752.381450167406
2020-05,41685.14755896957
2020-06,42051.11101870822
2020-07,41353.991301220434
2020-08,43898.63914828641
2020-09,43413.97860033737
2020-10,42093.57566726922
2020-11,45948.34659145631
2020-12,46547.74435661919
2021-01,46082.06691260137
2021-02,47235.26021085252
2021-03,50830.29705865612
2021-04,51822.63828120893
2021-05,52285.17823072021
2021-06,54809.40500005679
2021-07,56451.67194244747
2021-08,58135.067502889586
2021-09,55809.75570172199
2021-10,59504.207276953166
2021-11,59901.87690042337
2021-12,62318.94991242443
2022-01,58938.748074941526
2022-02,56875.117287060246
2022-03,59253.82865285772
2022-04,57548.438420064274