Date,Xtrackers MSCI World Value Factor UCITS ETF 1C
1997-10,10000
1997-11,10000
1997-12,10160.40238483925
1998-01,10417.476203369204
1998-02,11709.65202221247
1998-03,12165.317884452046
1998-04,11767.486921991
1998-05,11220.188561825194
1998-06,10911.973893997663
1998-07,10501.136081667359
1998-08,9003.734585959457
1998-09,8645.31747215459
1998-10,9875.13710213716
1998-11,10661.934966359131
1998-12,10850.800161585094
1999-01,11367.776332935715
1999-02,11285.416426387013
1999-03,12371.137142914811
1999-04,13728.556731461984
1999-05,13572.529651628372
1999-06,14481.174649696733
1999-07,14265.01950759732
1999-08,14484.21664889456
1999-09,14133.953231796055
1999-10,14994.274795614598
1999-11,16230.301459145612
1999-12,17750.482717106795
2000-01,16985.655583749172
2000-02,16758.490787926774
2000-03,17730.139366608353
2000-04,18619.433467004445
2000-05,17911.358623987308
2000-06,17886.407958834687
2000-07,18125.50483787866
2000-08,19678.476737231973
2000-09,19286.334234323363
2000-10,20129.734588353498
2000-11,19027.082638563334
2000-12,18709.538374274965
2001-01,19568.187609972847
2001-02,19136.94822219632
2001-03,19227.684376864054
2001-04,20103.473375965077
2001-05,20899.985876648632
2001-06,20712.26862321787
2001-07,20197.807048232164
2001-08,18764.515666411506
2001-09,16910.54949346294
2001-10,16902.815585854634
2001-11,18430.90840131816
2001-12,18826.17294607822
2002-01,19048.640568511346
2002-02,18914.7659382866
2002-03,19932.857336597026
2002-04,19746.360910139396
2002-05,19360.957940760978
2002-06,16847.21648184132
2002-07,15682.72690952296
2002-08,15655.114065372065
2002-09,13843.89960215881
2002-10,14027.084238643445
2002-11,14605.42988067451
2002-12,13391.029256430802
2003-01,12904.060052405006
2003-02,12472.613468404512
2003-03,12132.644085233947
2003-04,12871.692668211897
2003-05,13259.386690287423
2003-06,14305.559829956694
2003-07,15123.214046197389
2003-08,16453.678141576904
2003-09,16023.904617289023
2003-10,17339.136482097052
2003-11,17045.977202079204
2003-12,17384.38384647672
2004-01,18228.322775756063
2004-02,18590.7669760014
2004-03,19374.758959939627
2004-04,19456.770564442435
2004-05,19149.83609712521
2004-06,19970.562064296882
2004-07,19537.05996563376
2004-08,19425.148711650847
2004-09,19551.24393536305
2004-10,19489.51883358781
2004-11,20173.954633369278
2004-12,20672.252140254564
2005-01,21279.4859055241
2005-02,21915.85208107259
2005-03,21977.345781782496
2005-04,21407.57532160561
2005-05,22962.57563187789
2005-06,23875.76091805197
2005-07,24804.971317926622
2005-08,25295.794378802762
2005-09,26777.133363074892
2005-10,25878.99719282991
2005-11,27141.48368887687
2005-12,27899.230839835163
2006-01,28877.656892421357
2006-02,29460.26667320707
2006-03,29757.78981127192
2006-04,30091.522200988704
2006-05,28368.592112696453
2006-06,28645.248277692466
2006-07,29059.054869754316
2006-08,29801.092151636465
2006-09,30669.59919945232
2006-10,31751.15694821662
2006-11,31559.288239661633
2006-12,32661.15442278983
2007-01,33655.62795763813
2007-02,33219.30611463032
2007-03,33808.12507230961
2007-04,34989.68491271511
2007-05,36595.777600639594
2007-06,36425.229885610286
2007-07,34741.2821921264
2007-08,34615.72457036579
2007-09,34919.24163585126
2007-10,35239.96646236342
2007-11,32678.955114356562
2007-12,32153.333507955467
2008-01,29192.12224188803
2008-02,28671.511666680948
2008-03,27275.903601694765
2008-04,29133.42329676081
2008-05,29697.757929811858
2008-06,26592.788805050863
2008-07,26038.89869885579
2008-08,27193.2603046891
2008-09,23837.911500893046
2008-10,21144.817465506796
2008-11,20034.01515990104
2008-12,19462.17432206164
2009-01,19043.383865429645
2009-02,16906.79996117644
2009-03,17463.843333755216
2009-04,20487.023720731457
2009-05,21763.27688114415
2009-06,21587.97699095318
2009-07,23616.52864095568
2009-08,25217.818911193546
2009-09,25678.86212913786
2009-10,24506.672444449727
2009-11,24888.768853452344
2009-12,26608.74082635431
2010-01,26334.74595034405
2010-02,27273.580735955053
2010-03,29357.31724498478
2010-04,29319.070899491853
2010-05,28459.170732092665
2010-06,27287.49760828557
2010-07,28199.243870754053
2010-08,27660.79449055158
2010-09,28388.06900435447
2010-10,29154.38912507111
2010-11,29601.824040497897
2010-12,31235.134227814717
2011-01,32003.870530369677
2011-02,32820.89927335781
2011-03,31346.23743481036
2011-04,31436.031295693272
2011-05,31550.624785757187
2011-06,30957.332752466657
2011-07,30309.075031849497
2011-08,26669.52278041636
2011-09,25946.27093780577
2011-10,27633.740382312575
2011-11,27796.369176151176
2011-12,28619.849012256967
2012-01,29942.397244474072
2012-02,30920.882065168887
2012-03,31115.40858037513
2012-04,30288.04662823394
2012-05,28688.076928057064
2012-06,30053.475932562993
2012-07,30485.658506020587
2012-08,30632.74314798445
2012-09,30750.661057095294
2012-10,30822.6738544019
2012-11,31181.208718960366
2012-12,32198.339943857805
2013-01,33222.42252508639
2013-02,33807.85571292957
2013-03,35261.37779198113
2013-04,36115.99699495275
2013-05,37026.51154165407
2013-06,35682.02829683487
2013-07,37463.529644860995
2013-08,36923.61359675926
2013-09,38213.40100439184
2013-10,39442.32593010747
2013-11,40566.55682269456
2013-12,40766.15316645559
2014-01,40392.461164637985
2014-02,41443.875534904604
2014-03,41881.09291774307
2014-04,42201.83195547164
2014-05,43728.280926838765
2014-06,44601.57678064231
2014-07,45179.92236875662
2014-08,46053.49694030308
2014-09,46977.40697766517
2014-10,46540.715096620705
2014-11,47638.97578570567
2014-12,48297.811781616205
2015-01,50780.56945741537
2015-02,54473.87313824881
2015-03,56208.61721833512
2015-04,55634.0057694785
2015-05,57620.20034151558
2015-06,54949.483903117914
2015-07,56287.95238228548
2015-08,51128.16713812682
2015-09,48479.25889406561
2015-10,53332.45267277032
2015-11,54557.080271490646
2015-12,52259.43884445974
2016-01,47700.287701901885
2016-02,47278.65035706241
2016-03,48068.03206915797
2016-04,49608.14500188289
2016-05,50626.78496270128
2016-06,48887.87218172759
2016-07,51606.09250326363
2016-08,52513.90767860756
2016-09,52551.43258492005
2016-10,53767.036767107995
2016-11,56356.71937132413
2016-12,58612.450011271154
2017-01,58770.44018595367
2017-02,60827.7375177933
2017-03,60576.25159354748
2017-04,59709.83193079359
2017-05,58735.996995639354
2017-06,58405.62391874134
2017-07,58522.02316202331
2017-08,57864.17277054371
2017-09,59918.747926523225
2017-10,62291.87246430552
2017-11,62783.26051967626
2017-12,63143.89371582338
2018-01,64011.011589148016
2018-02,62888.79237389189
2018-03,60968.10826800722
2018-04,63484.64448346708
2018-05,63995.90488242968
2018-06,62931.18330908083
2018-07,64231.913871749464
2018-08,64100.52271187203
2018-09,65693.12427552935
2018-10,62320.64489681744
2018-11,62351.30301305055
2018-12,57132.73793365888
2019-01,61873.99811065487
2019-02,62836.656972822675
2019-03,63495.2666376922
2019-04,64732.74190806426
2019-05,59891.7668649887
2019-06,62729.66721277749
2019-07,63803.085612330215
2019-08,61810.90532041068
2019-09,65673.33164541933
2019-10,66613.72748200783
2019-11,68951.43578755096
2019-12,69614.95749486312
2020-01,68314.15617307647
2020-02,62364.02171685511
2020-03,52313.280229495205
2020-04,56487.47223627784
2020-05,56842.667436658274
2020-06,56913.6236255478
2020-07,52746.92481809029
2020-08,55209.06966625796
2020-09,54524.2890462559
2020-10,52693.89751028685
2020-11,60158.925535994
2020-12,61442.184304238974
2021-01,62919.62022131691
2021-02,66846.20806768723
2021-03,73062.21108928473
2021-04,71634.3572710659
2021-05,73258.47791516992
2021-06,74045.63068378108
2021-07,73576.67771410602
2021-08,74744.62786886173
2021-09,75340.11479096948
2021-10,75391.8149602039
2021-11,74721.20965372979
2021-12,80199.15910804771
2022-01,81414.66229137544
2022-02,79894.65455248972
2022-03,80894.78807669051
2022-04,80215.04242098021