Date,SPDR MSCI ACWI IMI UCITS ETF
1994-04,100
1994-05,100
1994-06,98.54801512785906
1994-07,96.99518506020476
1994-08,100.2720990235261
1994-09,96.98288382380282
1994-10,97.16332856020864
1994-11,93.84658322798835
1994-12,96.61832378568036
1995-01,92.69529650671193
1995-02,92.18486331293586
1995-03,92.5910497625627
1995-04,93.60111835394498
1995-05,95.66270112618207
1995-06,95.09116360938614
1995-07,98.56806210444743
1995-08,99.77934172292122
1995-09,103.45275034677015
1995-10,99.76739746812477
1995-11,102.78073502091554
1995-12,107.42786891056912
1996-01,110.66662350356883
1996-02,112.17223449453513
1996-03,113.82090429513389
1996-04,118.36982279038082
1996-05,120.10522282650008
1996-06,119.21479539603745
1996-07,112.32891490283296
1996-08,112.99657922602812
1996-09,117.70768658817117
1996-10,117.8446948923042
1996-11,121.54479700899714
1996-12,122.56104372573141
1997-01,127.19632856909408
1997-02,134.05152569773833
1997-03,132.5153345330721
1997-04,135.70981006622247
1997-05,144.58169344202219
1997-06,152.9793281145934
1997-07,163.36892868247253
1997-08,158.13235367748203
1997-09,161.3145715338367
1997-10,149.05241764122673
1997-11,146.41800214327031
1997-12,151.7656053821635
1998-01,158.01060057222628
1998-02,168.78735245634712
1998-03,176.41250148301157
1998-04,176.7359210136443
1998-05,170.50612051132188
1998-06,173.5092098641409
1998-07,172.65562713527655
1998-08,146.63383894365293
1998-09,142.76180608759867
1998-10,149.24095934785768
1998-11,162.12380330965095
1998-12,168.6601955817346
1999-01,177.29228668954448
1999-02,177.94159179388356
1999-03,190.79682695770197
1999-04,203.13366325161977
1999-05,199.6570713472124
1999-06,212.4512471958886
1999-07,204.89771777245252
1999-08,207.67320599435348
1999-09,204.65736838266184
1999-10,218.8141213522392
1999-11,236.34910851455277
1999-12,257.5099358260021
2000-01,251.95336460506093
2000-02,261.11931760783233
2000-03,276.02116824228875
2000-04,272.3729607342759
2000-05,256.53430577185634
2000-06,260.97521486804624
2000-07,260.8691596586239
2000-08,283.22630703251076
2000-09,272.61892187686834
2000-10,274.58997291962095
2000-11,246.50635427144627
2000-12,234.88850486114106
2001-01,241.8865344007788
2001-02,222.08884684990798
2001-03,215.89451792349666
2001-04,231.00802419363092
2001-05,240.01965703950853
2001-06,233.43877372942936
2001-07,220.67084776787263
2001-08,202.0162600549061
2001-09,182.5989691180628
2001-10,189.6851636776941
2001-11,204.2911693178965
2001-12,208.9894723475568
2002-01,207.57517575361248
2002-02,205.55792344575173
2002-03,214.13380550512662
2002-04,202.87627046750276
2002-05,195.10161984076464
2002-06,172.42363125956433
2002-07,160.85822440132486
2002-08,160.5522894737452
2002-09,143.49281242363273
2002-10,152.81724511514957
2002-11,160.04252745111654
2002-12,144.7157618518851
2003-01,136.27943189005487
2003-02,134.31289545653505
2003-03,132.5978577657328
2003-04,141.1046441722507
2003-05,141.25143220386803
2003-06,149.05329563635527
2003-07,154.02964727517147
2003-08,163.7962836793364
2003-09,154.67945355613568
2003-10,164.70166529182876
2003-11,162.15937736026737
2003-12,162.99031314687446
2004-01,169.5958936504519
2004-02,172.4753665576682
2004-03,174.98413429670774
2004-04,174.33189273836788
2004-05,172.12964815584388
2004-06,176.55942778221905
2004-07,172.14110870551835
2004-08,172.04421984833195
2004-09,171.7486583979631
2004-10,171.3714194046941
2004-11,173.47735430205265
2004-12,176.0125837709175
2005-01,180.2145950244186
2005-02,183.3136705469649
2005-03,183.3570551530532
2005-04,179.10653607380542
2005-05,192.32183204024037
2005-06,198.71913406424187
2005-07,206.42470356998234
2005-08,206.13392548076882
2005-09,214.7884419744412
2005-10,209.32516070209255
2005-11,221.70699048482774
2005-12,226.84038296920036
2006-01,232.32400781009935
2006-02,236.66005474901897
2006-03,237.66432500819053
2006-04,236.83806879796776
2006-05,221.61218799356945
2006-06,223.96102914724332
2006-07,223.88648889233295
2006-08,228.19792058842003
2006-09,234.15989352093692
2006-10,242.38028914305207
2006-11,240.12461839535322
2006-12,245.88604239873342
2007-01,252.69805195699502
2007-02,246.9172896773327
2007-03,249.97098664287083
2007-04,255.335667464003
2007-05,266.3026729951522
2007-06,264.3640449324876
2007-07,256.28547021785454
2007-08,255.12408623296977
2007-09,259.2169485639281
2007-10,264.4779483045843
2007-11,246.89805114724192
2007-12,244.65182259592956
2008-01,222.23932593166407
2008-02,218.79189315492368
2008-03,206.67511138936743
2008-04,221.8197109816511
2008-05,226.4792859417084
2008-06,204.42993196851933
2008-07,201.2573136119047
2008-08,208.98745440440518
2008-09,188.0183755862973
2008-10,168.14840129501667
2008-11,157.19198090525046
2008-12,149.45541332885648
2009-01,148.6149415549278
2009-02,135.92633440710327
2009-03,139.89724895155925
2009-04,157.71893320662733
2009-05,163.4869336963959
2009-06,162.46192631793787
2009-07,176.80227730017967
2009-08,181.8193177655312
2009-09,185.67606544236875
2009-10,180.4215614244054
2009-11,184.752464490956
2009-12,197.28995149760905
2010-01,195.12178126262435
2010-02,203.57695468462097
2010-03,218.5337388747383
2010-04,222.6243851409708
2010-05,218.07671235625952
2010-06,211.73750261958702
2010-07,215.5358416748341
2010-08,213.5802715128718
2010-09,217.9362560075841
2010-10,222.48188800260206
2010-11,232.66432514150873
2010-12,243.3852735642493
2011-01,240.83906545614695
2011-02,245.38464591703743
2011-03,239.25085066766746
2011-04,238.06839932401397
2011-05,240.7706268109287
2011-06,235.67517278388115
2011-07,234.90363958528346
2011-08,214.48371016173104
2011-09,207.147829794762
2011-10,221.397391849567
2011-11,224.12067550229375
2011-12,231.74357081868385
2012-01,241.4136868418614
2012-02,248.54936809425655
2012-03,251.80804387865666
2012-04,251.77462855022736
2012-05,244.34405512258746
2012-06,252.2063813643435
2012-07,261.52685922999194
2012-08,260.63938166332935
2012-09,262.44268748122255
2012-10,259.4028013215262
2012-11,262.82848352893456
2012-12,264.9440611611732
2013-01,270.1318245744176
2013-02,279.0899348004107
2013-03,291.8944054281238
2013-04,293.60693581335863
2013-05,294.8521163818132
2013-06,284.6464046123999
2013-07,294.2612612327828
2013-08,289.02872790418377
2013-09,298.5315224225709
2013-10,307.0462896240135
2013-11,312.1236377412318
2013-12,313.5115484914088
2014-01,307.9404791566695
2014-02,316.04882732709916
2014-03,317.80819039712276
2014-04,318.4034559669426
2014-05,330.7853946638853
2014-06,336.60070238509417
2014-07,338.3297456674044
2014-08,351.20462391907944
2014-09,355.06110238894325
2014-10,359.50435070767173
2014-11,366.05400281761945
2014-12,370.19637456305594
2015-01,391.36266642274353
2015-02,415.67751917449334
2015-03,428.64329422233953
2015-04,422.5555042329696
2015-05,432.4572050671035
2015-06,414.6432071481969
2015-07,425.50201054944523
2015-08,388.20780098835394
2015-09,374.467737542539
2015-10,409.57686858193847
2015-11,423.9409076770822
2015-12,404.29993025246597
2016-01,377.78075594205166
2016-02,376.9867295138846
2016-03,387.92457636301197
2016-04,393.51977771114707
2016-05,403.3175710474709
2016-06,402.3774191010312
2016-07,419.8652472637462
2016-08,420.6106374296374
2016-09,422.6237591412225
2016-10,422.5406728416894
2016-11,439.69213895057874
2016-12,453.2056396561019
2017-01,456.1594383068994
2017-02,475.7621484895092
2017-03,477.31665046870205
2017-04,474.4275456770682
2017-05,471.57695288806013
2017-06,466.46112873596854
2017-07,466.38512983836955
2017-08,464.21427790390226
2017-09,474.95060166826744
2017-10,491.4967832864206
2017-11,492.26620450634323
2017-12,494.29187029568135
2018-01,501.47127179216415
2018-02,490.11429840446806
2018-03,476.905663072901
2018-04,491.1071925588012
2018-05,509.30805635003213
2018-06,508.0702051961799
2018-07,518.6648882422016
2018-08,527.3005915894385
2018-09,531.6032347702151
2018-10,501.12669188032004
2018-11,506.4304599362053
2018-12,466.0953278368735
2019-01,502.3360617302275
2019-02,519.6177323131259
2019-03,533.5949141788769
2019-04,552.1714542454622
2019-05,522.4893736353212
2019-06,544.969176401506
2019-07,557.8438078406945
2019-08,549.5059581370483
2019-09,568.6806045440178
2019-10,570.404637110197
2019-11,593.8185758676963
2019-12,601.1340720634483
2020-01,602.8940570526454
2020-02,557.3583011378514
2020-03,478.2112777405095
2020-04,534.8610993949561
2020-05,546.5230278850219
2020-06,560.9280540679341
2020-07,557.7168180663402
2020-08,586.9411098566809
2020-09,580.0487771953851
2020-10,567.9180996710801
2020-11,624.7762264980186
2020-12,640.3013023961953
2021-01,646.2157799957515
2021-02,664.1979047943616
2021-03,704.570368600451
2021-04,713.4680138743804
2021-05,717.1786427343898
2021-06,745.2042894589026
2021-07,748.4836914836382
2021-08,770.6905539196583
2021-09,756.340743160242
2021-10,788.5768237771994
2021-11,786.4342104642765
2021-12,820.329417416298
2022-01,789.4899317120627
2022-02,768.4296079351752
2022-03,791.2327536183656
2022-04,767.2248932174316