Date,Vanguard FTSE All-World UCITS ETF (USD) Accumulating
2005-02,100
2005-03,100
2005-04,98.51368001777594
2005-05,105.18030281206089
2005-06,108.51616814938781
2005-07,112.26228410098098
2005-08,111.68177516589404
2005-09,117.25046030791917
2005-10,114.95980100808546
2005-11,121.00656113244642
2005-12,123.92597777607632
2006-01,126.3713904232186
2006-02,128.6250427000683
2006-03,129.4974328948333
2006-04,128.5300845671383
2006-05,121.23594640166951
2006-06,121.88396106532291
2006-07,123.11568334645798
2006-08,125.98076739983149
2006-09,128.88278753923413
2006-10,132.6743840554686
2006-11,131.42265446326846
2006-12,135.15811022869414
2007-01,138.4612238970687
2007-02,135.44564602380967
2007-03,137.14202060662305
2007-04,139.86677491174126
2007-05,146.3397149121592
2007-06,145.47054694501728
2007-07,141.41924152301345
2007-08,141.6540398816607
2007-09,143.07406099170217
2007-10,146.32058320914481
2007-11,138.19761838832466
2007-12,137.13511623758362
2008-01,124.38060314431695
2008-02,121.6162337323035
2008-03,114.845242604962
2008-04,123.4686850039178
2008-05,125.68266680044644
2008-06,113.51021953422286
2008-07,111.95025342897421
2008-08,116.05692946887812
2008-09,106.71076873844557
2008-10,94.66166147478528
2008-11,88.47962705743413
2008-12,83.81810270909405
2009-01,83.00694475048833
2009-02,75.65669915404239
2009-03,78.52192448332612
2009-04,88.20599148966001
2009-05,90.99514257750597
2009-06,91.35601704300613
2009-07,98.42448478113556
2009-08,100.85374625769153
2009-09,103.57101878776149
2009-10,101.00625591435958
2009-11,103.34069418160047
2009-12,110.34492397415231
2010-01,109.00560934289445
2010-02,112.34260387753127
2010-03,120.72079182450824
2010-04,123.08685358991626
2010-05,120.69611695657824
2010-06,117.38229527707401
2010-07,119.369011965421
2010-08,118.08856029575314
2010-09,120.5963610819658
2010-10,122.6519321910189
2010-11,127.86313928793453
2010-12,133.27804387573687
2011-01,132.39845280675823
2011-02,135.15186811340297
2011-03,131.55537737103148
2011-04,131.04115650311854
2011-05,132.3700535026721
2011-06,129.27070630069986
2011-07,128.24820371259497
2011-08,118.62789380759732
2011-09,115.18696244348754
2011-10,122.70773122463365
2011-11,123.23038620989917
2011-12,127.45609971912735
2012-01,133.9769895332012
2012-02,137.75275211834293
2012-03,139.2096745495352
2012-04,138.51314769269726
2012-05,135.0679908918956
2012-06,138.14770637408427
2012-07,144.36057381977454
2012-08,144.12583820948953
2012-09,145.76199743391805
2012-10,143.87314650767826
2012-11,145.22234018931078
2012-12,146.69003557428394
2013-01,149.03843967969075
2013-02,154.6845986174778
2013-03,160.28224467820746
2013-04,160.71999815609746
2013-05,163.18917086424077
2013-06,158.0066053159909
2013-07,162.05434859550456
2013-08,159.82967487520472
2013-09,163.815324900432
2013-10,169.6609204875558
2013-11,171.81994694476165
2013-12,172.70316867611885
2014-01,169.42773960672258
2014-02,173.29470757223717
2014-03,174.64484020066917
2014-04,175.28228026526855
2014-05,182.09265981066886
2014-06,185.0092759812968
2014-07,187.0686185399109
2014-08,194.2525517887015
2014-09,196.08106398843626
2014-10,195.47812973741208
2014-11,203.44002997022872
2014-12,205.61749480236378
2015-01,217.21770915924327
2015-02,228.26313913677484
2015-03,237.30811170193311
2015-04,234.1724196363767
2015-05,239.32220121108125
2015-06,230.01499103541065
2015-07,233.92978503516554
2015-08,215.03221146119697
2015-09,202.92651177784447
2015-10,226.70992402089024
2015-11,235.2453049709293
2015-12,224.7694719705403
2016-01,205.5845381083939
2016-02,209.68224286668118
2016-03,214.9968191639378
2016-04,217.16249079314406
2016-05,223.88035539018998
2016-06,223.02354810739337
2016-07,231.16618518160485
2016-08,232.8787282522283
2016-09,232.00876030217464
2016-10,234.856941383724
2016-11,243.92245848859363
2016-12,252.33822135633545
2017-01,251.48590255045175
2017-02,263.12135788289055
2017-03,264.85580611627927
2017-04,264.1292104196357
2017-05,261.54135777643046
2017-06,258.9705477745655
2017-07,257.3965994770842
2017-08,256.3369904728942
2017-09,262.82433239344334
2017-10,272.31715630823936
2017-11,271.3383150599194
2017-12,274.0511288525474
2018-01,278.96054591911155
2018-02,273.1162566088077
2018-03,265.0877451765858
2018-04,272.5366714932555
2018-05,282.36971796482925
2018-06,280.66265765442586
2018-07,288.57187981697905
2018-08,292.3106977533487
2018-09,293.5886560858757
2018-10,279.0857178907958
2018-11,283.44195990703275
2018-12,261.1193653312581
2019-01,280.4175485496896
2019-02,290.04276019765854
2019-03,297.9948092698459
2019-04,308.7235155554084
2019-05,292.3661415605908
2019-06,304.66864826347097
2019-07,312.5010317888046
2019-08,308.60002176226936
2019-09,318.63572870938873
2019-10,320.0760711042882
2019-11,331.74687655672756
2019-12,337.5821797290496
2020-01,338.04022927127795
2020-02,313.49882590993155
2020-03,271.534189475141
2020-04,301.022716545365
2020-05,309.6268953564678
2020-06,316.37958987574336
2020-07,316.05052716394334
2020-08,331.927146143751
2020-09,327.7003562883815
2020-10,321.71639518108833
2020-11,352.0923526611824
2020-12,360.2463818091686
2021-01,361.18896398586776
2021-02,369.9862314219526
2021-03,392.881292392705
2021-04,400.20980988002646
2021-05,400.47532924874014
2021-06,417.92834094686015
2021-07,420.6563019499583
2021-08,433.11942190515464
2021-09,424.9481431999575
2021-10,445.10840644530623
2021-11,446.12226948589193
2021-12,459.80597991950253
2022-01,444.0428501949147
2022-02,426.37083660082715
2022-03,449.871588243608
2022-04,441.8691808739786