Date,Xtrackers MSCI Europe Small Cap UCITS ETF 1C
2000-11,100
2000-12,100
2001-01,105.4890740342193
2001-02,101.87685806020373
2001-03,96.94623707424114
2001-04,102.31601150365167
2001-05,106.96096996910552
2001-06,101.99156722778471
2001-07,97.20880732001876
2001-08,93.65939348445258
2001-09,78.15347380994339
2001-10,83.99770172380272
2001-11,92.31425635818673
2001-12,94.80404969099584
2002-01,95.06670469912129
2002-02,95.21071646139414
2002-03,100.8470302092958
2002-04,100.72759629848733
2002-05,97.46487191308486
2002-06,88.56587105572852
2002-07,80.58825198803966
2002-08,78.90201483102167
2002-09,70.10873361065575
2002-10,72.96023075649723
2002-11,75.64908830349708
2002-12,69.79895253428879
2003-01,65.53694946987314
2003-02,63.1126120215018
2003-03,62.39643228821745
2003-04,69.92050331689502
2003-05,73.25620958169151
2003-06,77.37471919210797
2003-07,81.630273346154
2003-08,87.5075219482915
2003-09,85.84484395733388
2003-10,93.17125751079857
2003-11,93.70658290140572
2003-12,93.74202772418055
2004-01,101.46913451600369
2004-02,105.71392306041993
2004-03,104.86945708056886
2004-04,104.96623126340789
2004-05,103.09124117530527
2004-06,107.11871771037475
2004-07,103.60544649068568
2004-08,102.72038200441314
2004-09,105.07158390353302
2004-10,106.54374075222808
2004-11,112.40840791844077
2004-12,115.48556502996001
2005-01,122.45483599153619
2005-02,126.95922843094972
2005-03,127.12588215284924
2005-04,122.90762187389639
2005-05,130.15036033619
2005-06,136.32106234487924
2005-07,144.04438574456628
2005-08,147.65571019893346
2005-09,153.27165826947117
2005-10,144.53263004598642
2005-11,151.07517448323975
2005-12,158.75315670375775
2006-01,170.3524083506257
2006-02,178.07157028383057
2006-03,183.809693373769
2006-04,189.27388539760878
2006-05,176.5637604239284
2006-06,175.5156228220974
2006-07,173.0229395047734
2006-08,176.63204964346977
2006-09,182.3046335776032
2006-10,191.71768247019477
2006-11,196.93210328701565
2006-12,206.65180130955707
2007-01,214.37342395591264
2007-02,210.98649507690072
2007-03,219.7033042977187
2007-04,227.49813891975856
2007-05,233.4163961156044
2007-06,228.92789619520244
2007-07,223.99676709646388
2007-08,214.4453450824696
2007-09,206.46242944520915
2007-10,217.6787960397741
2007-11,194.94555300282414
2007-12,189.61970280028942
2008-01,167.41013975310835
2008-02,172.6369056993775
2008-03,167.31074615374405
2008-04,173.42775285691434
2008-05,176.12027503397147
2008-06,158.62950541433725
2008-07,151.96552023438085
2008-08,156.63813682300747
2008-09,129.19362488528355
2008-10,104.2513159623169
2008-11,95.4659510544463
2008-12,91.91648175868399
2009-01,93.44344811298448
2009-02,88.06898315321014
2009-03,89.6188809192542
2009-04,109.3289167218048
2009-05,116.89615808436274
2009-06,115.9497405578802
2009-07,126.41045336135649
2009-08,137.77622839036596
2009-09,143.67970903764973
2009-10,139.61836670083676
2009-11,138.8929235011552
2009-12,146.45959989010308
2010-01,149.4820047391511
2010-02,148.56047952573329
2010-03,162.08933056657358
2010-04,165.81465863196448
2010-05,154.0210765377482
2010-06,153.28585562554616
2010-07,161.68466521792206
2010-08,159.46280563628218
2010-09,168.5917279475217
2010-10,175.400342199987
2010-11,174.9954309763553
2010-12,191.89372172636553
2011-01,190.6024594340369
2011-02,192.41307298463872
2011-03,190.3870700635093
2011-04,196.15502659676255
2011-05,196.92407167049493
2011-06,189.61459613038664
2011-07,184.4838812900687
2011-08,163.18388418755782
2011-09,151.26562915947636
2011-10,161.81933095372986
2011-11,158.138862580786
2011-12,158.4474496224474
2012-01,171.143716793063
2012-02,181.59652379288895
2012-03,182.1484997179819
2012-04,183.51430506665406
2012-05,169.947796089433
2012-06,175.6356058776892
2012-07,180.9490171016956
2012-08,184.57619739791267
2012-09,189.645259697792
2012-10,192.19831974299478
2012-11,194.06523006123066
2012-12,200.67625790313755
2013-01,207.04965244806078
2013-02,213.69191776417117
2013-03,217.92291384125855
2013-04,220.74146490659237
2013-05,226.33401329412257
2013-06,215.83826977701293
2013-07,231.35082344832253
2013-08,232.96250073217288
2013-09,246.85945154590397
2013-10,256.686064404043
2013-11,262.3905891767544
2013-12,267.91812805847354
2014-01,269.6546982084892
2014-02,287.8718679293332
2014-03,284.46051816621764
2014-04,281.39756364916985
2014-05,288.93910132227654
2014-06,285.89893923416605
2014-07,278.01151959918366
2014-08,281.7319639986319
2014-09,278.540535165131
2014-10,273.4808221121281
2014-11,279.2780864206053
2014-12,284.66374803678497
2015-01,302.81653790087273
2015-02,329.92357231367293
2015-03,336.3483308977992
2015-04,341.415410889183
2015-05,354.1849577800648
2015-06,342.4018231328677
2015-07,358.19576925554827
2015-08,336.5752618847551
2015-09,325.09968184353045
2015-10,347.85170379178686
2015-11,360.51406703902916
2015-12,352.20882885936896
2016-01,321.0581856312603
2016-02,321.4925986354382
2016-03,333.05107473739434
2016-04,337.0353206072769
2016-05,349.3066695053348
2016-06,319.0182077378219
2016-07,338.58714913490854
2016-08,341.7241559242816
2016-09,347.27727850730867
2016-10,336.48571258026885
2016-11,338.98422108321995
2016-12,356.5845617358761
2017-01,361.244034025744
2017-02,372.13637249365996
2017-03,381.23510932296136
2017-04,398.30819599562625
2017-05,405.195754385279
2017-06,394.2661698775205
2017-07,400.8226933073182
2017-08,398.3240659440798
2017-09,414.60800353466925
2017-10,423.0046187427227
2017-11,417.3170060569142
2017-12,425.20667215251433
2018-01,432.8652790683991
2018-02,419.6979335301483
2018-03,412.4280794102169
2018-04,430.7270783269089
2018-05,437.29278291404165
2018-06,434.1634579433957
2018-07,437.95345362574005
2018-08,436.2449963058787
2018-09,430.02444373921253
2018-10,396.4058870170114
2018-11,381.11649159293887
2018-12,357.16764846081037
2019-01,389.3936545746572
2019-02,401.92273622253805
2019-03,408.25815415877736
2019-04,427.31095432574574
2019-05,402.8979715689706
2019-06,415.3458047796701
2019-07,413.7496655278507
2019-08,406.42277810290693
2019-09,422.145748338104
2019-10,432.20866145332354
2019-11,453.69290278794006
2019-12,470.5939470479475
2020-01,464.04391622035865
2020-02,425.7414194209955
2020-03,335.4189386021542
2020-04,375.8501305273496
2020-05,392.2529003169486
2020-06,399.17232326578767
2020-07,401.58929611647045
2020-08,425.9932005408383
2020-09,423.344319038757
2020-10,402.39744464691614
2020-11,464.5447250960717
2020-12,491.522726187896
2021-01,495.40340415415847
2021-02,514.632478430357
2021-03,541.7734409504562
2021-04,558.8819000769172
2021-05,574.195941510843
2021-06,568.7147178624571
2021-07,589.241772834652
2021-08,609.781264647531
2021-09,584.589220920341
2021-10,600.9399902481241
2021-11,579.8332632595694
2021-12,613.3570592980398
2022-01,572.2589200832243
2022-02,548.6223954594517
2022-03,552.3275522503445
2022-04,541.6365432279156